"","Candidate","Constituency_No","Party","pid","Votes","Margin","Margin_PC"
"35","AJAY DHARAM SINGH",35,"INC","AEKE1001",68508,16056,9.92667515734547
"36","NARASIMHANAYAK (RAJUGOUDA)",36,"BJP","AEKE1016",104426,22568,11.4444512059068
"37","SHARANABASAPPA GOUDA DARSHANAPUR",37,"INC","AEKE1026",78642,30974,19.8005497666688
"38","VENKATREDDY MUDNAL",38,"BJP","AEKE18602",62227,12881,8.91733414561541
"39","NAGANGOUDA KANDKUR",39,"JD(S)","AEKE1046",79627,24480,16.1080184768447
"40","PRIYANK KHARGE",40,"INC","AEKE98",69700,4393,3.12960838931673
"41","RAJKUMAR PATIL",41,"BJP","AEKE1070",80668,7200,4.5405814466797
"42","DR. UMESH G JADHAV",42,"INC","AEKE1082",73905,19212,14.4453300049625
"43","BASAWARAJ MATTIMUD",43,"BJP","AEKE18635",61750,12386,8.12223351585298
"44","DATTATRAYA C PATIL REVOOR APPU GOUDA",44,"BJP","AEKE1109",64788,5431,3.76207035092337
"45","KANEEZ FATIMA",45,"INC","AEKE1134",64311,5940,3.99859981689913
"46","GUTTEDAR SUBHASH RUKMAYYA",46,"BJP","AEKE1149",76815,697,0.433973189547286
"47","B. NARAYANRAO",47,"INC","AEKE1162",61425,17272,11.8850033717298
"48","RAJSHEKHAR",48,"INC","AEKE19327",74945,31814,19.9667367496156
"49","BANDEPPA",49,"JD(S)","AEKE1191",55107,12742,9.17436477136089
"50","RAHIM KHAN",50,"INC","AEKE32",73270,10245,7.2854369484366
"51","ESHWAR KHANDRE",51,"INC","AEKE1228",84673,21438,12.8326688934382
"52","PRABHU CHAUHAN",52,"BJP","AEKE1240",75061,10592,7.18545000644465
"53","BASANAGOUDA DADDAL",53,"INC","AEKE3929",66656,9964,6.16275258069903
"54","DR. SHIVARAJ PATIL",54,"BJP","AEKE1265",56511,10991,8.87143641235915
"55","RAJA VENKATAPPA NAYAK",55,"JD(S)","AEKE1287",53548,15815,10.2659474336754
"56","SHIVANA GOUDA NAYAK",56,"BJP","AEKE42",67003,21045,13.3730277246472
"57","D. S. HOOLAGERI",57,"INC","AEKE18721",54230,4946,3.01311613229444
"58","VENKATRAO NADAGOUDA",58,"JD(S)","AEKE1317",71514,1597,0.976973523222239
"59","PRATAPGOUDA PATIL",59,"INC","AEKE1329",60387,213,0.155797419468094
"60","AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR",60,"INC","AEKE1340",87567,18031,10.858385123091
"61","BASAVARAJ DADESUGUR",61,"BJP","AEKE1354",87735,14225,8.49228381242351
