"","Candidate","Constituency_No","Party","pid","Votes","Margin"
"66","HANAMANTAGOUDA KRISHNAGOUDA PATIL",66,"INC","AEKE1409",77699,1868
"67","KALAKAPPA BANDI",67,"BJP","AEKE1422",83735,7334
"68","CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL",68,"BJP","AEKE1434",73045,7979
"69","SHANKAR B. PATIL MUNENAKOPPA",69,"BJP","AEKE1445",65718,20521
"70","CHANNABASAPPA SATHYAPPA SHIVALLI",70,"INC","AEKE1460",64871,634
"71","AMRUT AYYAPPA DESAI",71,"BJP","AEKE1472",85123,20340
"72","ABBAYYA PRASAD",72,"INC","AEKE1484",77080,21467
"73","JAGADISH SHETTAR",73,"BJP","AEKE1493",72182,22347
"74","ARVIND BELLAD",74,"BJP","AEKE1512",96462,40487
"75","C M NIMBANNAVAR",75,"BJP","AEKE18111",83267,25997
"76","DESHPANDE R.V",76,"INC","AEKE1538",61577,5140
"77","ROOPALI SANTOSH NAIK",77,"BJP","AEKE18505",60339,14064
"78","DINAKAR KESHAV SHETTY",78,"BJP","AEKE1566",59392,32750
"79","SUNIL BILIYA NAIK",79,"BJP","AEKE18518",83172,5930
"80","KAGERI VISHWESHWAR HEGDE",80,"BJP","AEKE1585",70595,17461
"81","ARABAIL HEBBAR SHIVARAM",81,"INC","AEKE1593",66290,1483
"82","C M UDASI",82,"BJP","AEKE1607",80529,6514
"83","BASAVARAJ BOMMAI",83,"BJP","AEKE1613",83868,9265
"84","NEHARU OLEKAR",84,"BJP","AEKE1625",86565,11304
"85","BALLARY VIRUPAKSHAPPA RUDRAPPA",85,"BJP","AEKE1636",91721,21271
"86","BASAVANAGOUDA PATIL",86,"INC","GEKE18161",72461,555
"87","R SHANKAR S/O M RAMACHANDRA",87,"KPJP","AEKE18174",63910,4338
"88","P. T. PARAMESHWARA NAIK",88,"INC","AEKE1677",54097,9178
"89","BHEEMA NAIK L.B.P.",89,"INC","AEKE1687",78337,7232
"90","ANAND SINGH",90,"INC","AEKE1701",83214,8228
"91","J N GANESH",91,"INC","AEKE1722",80592,5555
"92","M.S. SOMALINGAPPA",92,"BJP","AEKE1732",82546,21271
"93","B NAGENDRA",93,"INC","AEKE18823",79186,2679
"94","G. SOMASEKHARA REDDY",94,"BJP","AEKE18832",76589,16155
"95","E TUKARAM",95,"INC","AEKE1781",78106,14010
"96","N.Y. GOPALAKRISHNA",96,"BJP","AEKE46",50085,10813
