"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"128",126,"D S SURESH","BJP","AEKE2170",44940,"G.H SRINIVASA","INC","AEKR15744",35817
"129",127,"K S PRAKASH","BJP","AEKE2185",62232,"Y.S.V.DATTA","JD(S)","AEKR13159",68733
"130",128,"J.C. MADHU SWAMY","BJP","AEKE348",69612,"C.B.SURESHBABU","JD(S)","AEKRBP186",60759
"131",129,"B.C. NAGESH","BJP","AEKE2203",61383,"K.SHADAKSHARI","INC","AEKR9264",56817
"132",130,"JAYARAM A S","BJP","AEKE2213",60710,"M.T.KRISHNAPPA","JD(S)","AEKR6999",66089
"133",131,"DR H.D. RANGANATH","INC","AEKE18898",58697,"D. NAGARAJAIAH","JD(S)","AEKR2896",44575
"134",132,"G.B. JYOTHI GANESH","BJP","AEKE2234",60421,"DR. RAFEEQ AHMED S.","INC","AEKR13190",43681
"135",133,"D C GOWRISHANKAR","JD(S)","AEKE2248",82740,"B.SURESH GOWDA","BJP","AEKR13209",55029
"136",134,"DR. G. PARAMESHWARA","INC","AEKE2263",81598,"SUDHAKARA LAL .P.R","JD(S)","AEKR15831",72229
"137",135,"S R SRINIVAS (VASU)","JD(S)","AEKE18935",55572,"S R SHRINIVAS (VASU)","JD(S)","AEKR13219",58783
"138",136,"B SATHYANARAYANA","JD(S)","AEKE2290",74338,"T B JAYACHANDRA","INC","AEKR235",74089
"139",137,"VENKATARAMANAPPA","INC","AEKE4549",72974,"K.M.THIMMARAYAPPA","JD(S)","AEKR10626",68686
"140",138,"M.V. VEERABHADRAIAH","JD(S)","AEKE2316",88521,"KYATASANDRA N.RAJANNA","INC","AEKR10649",75086
"141",139,"N.H.SHIVASHANKARA REDDY","INC","AEKE2337",69000,"N H SHIVASHANKARA REDDY","INC","AEKR13272",50131
"142",140,"S.N. SUBBAREDDY(CHINNAKAYALAPALLI)","INC","AEKE2359",65710,"S.N SUBBAREDDY(CHINNAKAYAL APALLI)","IND","AEKR15917",66227
"143",141,"DR. K. SUDHAKAR","INC","AEKE2380",82006,"DR. K SUDHAKAR","INC","AEKR15951",74914
